"Name";"Domain name";"IP Address";"NumCpu";"MemoryGB";"SSD/GB";"SAS/GB";"NLSAS/GB";"RAW/GB";"Organization";"Organisation prefix";"Services";"PowerState";"Responsible"
"atl-kaspersky-smg-01";"srv-ksmg-01.gw-ad.local";"192.168.254.200|fe80::250:56ff:fe85:53d0";"4";"4";;"100";;"";"АТЛАНТА";"К";"Kaspersky";"PoweredOn";"SmetaninAV"
"blg-autodesk-license-01";"atl-autodesk-bilong.gw-ad.local";"192.168.254.188";"2";"4";;"100";;"";"СЗ Доброград";"СЗД";"AUTOCAD LIC";"PoweredOn";""
"Host_PKMC_bitrix_dev";"pkmc-dev.gw-ad.local";"185.189.16.49|fe80::250:56ff:feae:5108";"2";"8";;"100";;"";"ПКМЦ";"АМС";"";"PoweredOn";""
"ltv-1c-mssql-02-sp";;"";"8";"24";;;"2681";"";"Литвуд";"ЛН";"MS SQL";"PoweredOn";""
"ask-1c-lic-03";"1c-lic-03.gw-ad.local";"192.168.254.95";"2";"4";;"100";;"";"Аскона-Век";"АВ-ВМС";"WMS";"PoweredOn";""
"atl-exch-mb2k10-02";"mb02.gw-ad.local";"192.168.0.3|fe80::b4ce:34b2:95d:f69f|169.254.2.237|192.168.254.33|192.168.254.27";"2";"6";;"1700";;"";"АТЛАНТА";"К";"Exchange";"PoweredOn";"SmetaninAV"
"host-scopus";"host-scopus";"185.189.16.109|fe80::250:56ff:fe85:b893";"2";"4";;"19,578125";;"";"Диджитал Адванс";"ДА";"Web";"PoweredOn";""
"atl-test-dirrx";"dirRX-test.gw-ad.local";"192.168.254.160";"2";"6";;;"100";"";"АТЛАНТА";"К";"Directum";"PoweredOn";""
"atl-vpn-users-02";"ROS-KVR-VPN_USERS-2";"192.168.254.48|185.189.17.252|185.189.17.250";"2";"2";;"0,0625";;"";"АТЛАНТА";"К";"VPN";"PoweredOn";""
"ltv-firewall-01";"ROS-KVR-FIREWALL_LITWOOD-1";"172.19.251.29|185.189.19.254";"2";"4";;;"0,125";"";"Литвуд";"ЛН";"Firewall";"PoweredOn";""
"pkmc-blockchain-api";"pkmc-bc-api";"172.19.60.1|192.168.255.25|fe80::250:56ff:feae:b3ed";"2";"2";"100";;;"";"ПКМЦ";"АМС";"";"PoweredOn";""
"atl-vdi-2k16-03";"atl-vdi-2k16-03.gw-ad.local";"172.19.180.213";"12";"30";"300";;;"";"";"";"";"PoweredOn";""
"ltv-slv-basis-mebel";"BMSolvis.gw-ad.local";"192.168.254.224|fe80::4d80:275a:1e7c:2da3";"4";"4";;"510";;"";"Литвуд";"ЛН";"";"PoweredOn";""
"inv-firewall-01";"ROS-KVR-FIREWALL_BILONG-1";"172.19.251.41|185.189.19.250";"2";"4";;;"0,125";"";"СЗ Аскона Инвест";"СД";"Firewall";"PoweredOn";""
"atl-ic-vdi-013";"atl-ic-vdi-013.gw-ad.local";"172.19.27.36";"2";"6";;"100";;"";"Курорт Доброград ООО";"АТ";"WS-VDI";"PoweredOn";""
"fmc-firewall-01";"ROS-KVR-FIREWALL_PKMC-1";"172.19.251.33|185.189.19.251";"2";"4";;;"0,125";"";"ПКМЦ";"АМС";"Firewall";"PoweredOn";""
"vchv-uag-20";"hws.askonalife.com";"192.168.254.3";"2";"4";;"20";;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-it-dev-portal";"dev01-portal";"185.189.16.59|fe80::250:56ff:fe85:405e|192.168.254.13|fe80::250:56ff:feae:518d";"2";"2";;"100";;"";"АТЛАНТА";"К";"Portal";"PoweredOn";"SmetaninAV"
"atl-syslog";"syslog";"192.168.254.45|fe80::250:56ff:fe85:2b23";"2";"4";;"100";;"";"АТЛАНТА";"К";"";"PoweredOn";"SmetaninAV"
